latitude,longitude,FID,OBJECTID,LABEL,NOTES,TYPE,ELEVATION,DEPTH,PROXIMITY,TEMPERATUR,WAYPOINT,COMMENT,LONGITUDE,LATITUDE,URL
-87.57500700,33.22261820,238,246,Porters Saint Paul Christian Methodist Episcopal Church, ,Church,164.040000,0.000000,0.000000,0.000000, , ,-87.575010,33.222620, 
-87.58222940,33.22261830,239,247,Full Gospel Church of God, ,Church,164.040000,0.000000,0.000000,0.000000, , ,-87.582230,33.222620, 
-87.57584040,33.22428490,240,248,Living Praise Worship Center, ,Church,177.170000,0.000000,0.000000,0.000000, , ,-87.575840,33.224280, 
-87.57306260,33.22428490,241,249,First Colored Baptist Church of Northport, ,Church,173.880000,0.000000,0.000000,0.000000, , ,-87.573060,33.224280, 
-87.59111860,33.22567380,242,250,AOH Church of God, ,Church,150.920000,0.000000,0.000000,0.000000, , ,-87.591120,33.225670, 
-87.48750450,33.22622900,243,251,Hurricane Baptist Church, ,Church,305.120000,0.000000,0.000000,0.000000, , ,-87.487500,33.226230, 
-87.57195140,33.22706250,244,252,New Zion Baptist Church, ,Church,180.450000,0.000000,0.000000,0.000000, , ,-87.571950,33.227060, 
-87.48750460,33.22928450,247,255,Weeping Mary African Methodist Episcopal Zion Church, ,Church,364.170000,0.000000,0.000000,0.000000, , ,-87.487500,33.229280, 
-87.62556410,33.22956260,248,256,New Prospect Baptist Church, ,Church,157.480000,0.000000,0.000000,0.000000, , ,-87.625560,33.229560, 
-87.54806190,33.23011800,249,257,Open Door Baptist Church, ,Church,177.170000,0.000000,0.000000,0.000000, , ,-87.548060,33.230120, 
-87.58584070,33.23011810,250,258,Mount Galilee Baptist Church, ,Church,213.250000,0.000000,0.000000,0.000000, , ,-87.585840,33.230120, 
-87.54195050,33.23067350,251,259,Robertson Chapel Baptist Church, ,Church,229.660000,0.000000,0.000000,0.000000, , ,-87.541950,33.230670, 
-87.58389620,33.23067370,252,260,Northport Church of Christ, ,Church,209.970000,0.000000,0.000000,0.000000, , ,-87.583900,33.230670, 
-87.53500590,33.23150680,254,262,First Wesleyan Church, ,Church,223.100000,0.000000,0.000000,0.000000, , ,-87.535010,33.231510, 
-87.57611820,33.23289580,257,265,First Freewill Baptist Church, ,Church,229.660000,0.000000,0.000000,0.000000, , ,-87.576120,33.232900, 
-87.57695150,33.23317360,259,267,Northport Church of God, ,Church,226.380000,0.000000,0.000000,0.000000, , ,-87.576950,33.233170, 
-87.47972660,33.23400650,260,268,Church of the Nazarene, ,Church,370.730000,0.000000,0.000000,0.000000, , ,-87.479730,33.234010, 
-87.57639600,33.23539570,261,269,Revelation Rock Church, ,Church,206.690000,0.000000,0.000000,0.000000, , ,-87.576400,33.235400, 
-87.57250700,33.23622900,262,270,Saint Mark United Methodist Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.572510,33.236230, 
-87.49750480,33.23872870,265,273,Holt United Methodist Church, ,Church,285.430000,0.000000,0.000000,0.000000, , ,-87.497500,33.238730, 
-87.49528260,33.23900650,266,274,Holt Baptist Church, ,Church,308.400000,0.000000,0.000000,0.000000, , ,-87.495280,33.239010, 
-87.57472930,33.24095110,267,275,Northwood Hills Baptist Church, ,Church,187.010000,0.000000,0.000000,0.000000, , ,-87.574730,33.240950, 
-87.55111750,33.24122880,268,276,Indian Lake Baptist Church, ,Church,259.190000,0.000000,0.000000,0.000000, , ,-87.551120,33.241230, 
-87.48556010,33.24150640,269,277,Saint John African Methodist Episcopal Church, ,Church,354.330000,0.000000,0.000000,0.000000, , ,-87.485560,33.241510, 
-87.63306440,33.24178460,272,280,Pinehaven Church, ,Church,190.290000,0.000000,0.000000,0.000000, , ,-87.633060,33.241780, 
-87.59306320,33.24206220,273,281,Five Points Baptist Church, ,Church,239.500000,0.000000,0.000000,0.000000, , ,-87.593060,33.242060, 
-87.59306320,33.24206220,274,282,Morning Star Church, ,Church,239.500000,0.000000,0.000000,0.000000, , ,-87.593060,33.242060, 
-87.55333980,33.24233990,275,283,Rices Valley Church, ,Church,255.910000,0.000000,0.000000,0.000000, , ,-87.553340,33.242340, 
-87.49028250,33.24289530,278,286,Morning Star Baptist Church, ,Church,305.120000,0.000000,0.000000,0.000000, , ,-87.490280,33.242900, 
-87.58528520,33.24539550,280,288,Evening Lights Church of God, ,Church,298.560000,0.000000,0.000000,0.000000, , ,-87.585290,33.245400, 
-87.62806430,33.24761770,286,294,Jennings Chapel United Methodist Church, ,Church,236.220000,0.000000,0.000000,0.000000, , ,-87.628060,33.247620, 
-87.54750630,33.25039530,290,299,Springhill African Methodist Episcopal Zion Church, ,Church,291.990000,0.000000,0.000000,0.000000, , ,-87.547510,33.250400, 
-87.54750630,33.25095070,292,301,Beulah Baptist Church, ,Church,295.280000,0.000000,0.000000,0.000000, , ,-87.547510,33.250950, 
-87.63056440,33.25289540,295,304,Flatwoods Baptist Church, ,Church,288.710000,0.000000,0.000000,0.000000, , ,-87.630560,33.252900, 
-87.51389420,33.25706170,298,308,Covenant Assembly Church, ,Church,305.120000,0.000000,0.000000,0.000000, , ,-87.513890,33.257060, 
-87.57195140,33.25789520,299,310,Union Chapel United Methodist Church, ,Church,272.310000,0.000000,0.000000,0.000000, , ,-87.571950,33.257900, 
-87.58889640,33.27289500,306,318,AG Hinton Full Gospel Deliverance Church, ,Church,360.890000,0.000000,0.000000,0.000000, , ,-87.588900,33.272890, 
-87.60028560,33.28150600,315,328,Chapel Hill Baptist Church, ,Church,285.430000,0.000000,0.000000,0.000000, , ,-87.600290,33.281510, 
